"","external_gene_name","description","gene_biotype"
"244","Gm37381","predicted gene, 37381 [Source:MGI Symbol;Acc:MGI:5610609]","lncRNA"
"245","Gm11209","predicted gene 11209 [Source:MGI Symbol;Acc:MGI:3650632]","lncRNA"
"246","Cdkn2a","cyclin dependent kinase inhibitor 2A [Source:MGI Symbol;Acc:MGI:104738]","protein_coding"
"247","Gm28501","predicted gene 28501 [Source:MGI Symbol;Acc:MGI:5579207]","lncRNA"
"248","Gm12953","predicted gene 12953 [Source:MGI Symbol;Acc:MGI:3649497]","lncRNA"
"249","Gm12940","predicted gene 12940 [Source:MGI Symbol;Acc:MGI:3702626]","lncRNA"
"250","Gpr45","G protein-coupled receptor 45 [Source:MGI Symbol;Acc:MGI:2135882]","protein_coding"
"251","Cited4","Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4 [Source:MGI Symbol;Acc:MGI:1861694]","protein_coding"
"252","Gm11867","predicted gene 11867 [Source:MGI Symbol;Acc:MGI:3650506]","lncRNA"
"253","Cngb3","cyclic nucleotide gated channel beta 3 [Source:MGI Symbol;Acc:MGI:1353562]","protein_coding"
"254","Cnbd1","cyclic nucleotide binding domain containing 1 [Source:MGI Symbol;Acc:MGI:3650508]","protein_coding"
"255","Pigm","phosphatidylinositol glycan anchor biosynthesis, class M [Source:MGI Symbol;Acc:MGI:1914806]","protein_coding"
"256","Gm29170","predicted gene 29170 [Source:MGI Symbol;Acc:MGI:5579876]","lncRNA"
"257","6330562C20Rik","RIKEN cDNA 6330562C20 gene [Source:MGI Symbol;Acc:MGI:1923443]","lncRNA"
"258","Rgs1","regulator of G-protein signaling 1 [Source:MGI Symbol;Acc:MGI:1354694]","protein_coding"
"259","Lef1os1","LEF1 opposite strand RNA 1 [Source:MGI Symbol;Acc:MGI:5663489]","lncRNA"
"260","Gm5103","predicted gene 5103 [Source:MGI Symbol;Acc:MGI:3779459]","lncRNA"
"261","A230059L01Rik","RIKEN cDNA A230059L01 gene [Source:MGI Symbol;Acc:MGI:2443688]","lncRNA"
